20  61.1        50      56.5    51
40  118.1       98      114.3   93
60  139.3       377     154.7   253
80  143.0       912     158.2   541
100 143.0       1468    162.3   940
120 143.3       1992    161.4   1355
140 144.7       2511    160.6   1917
